類・品目,,生鮮食品を除く総合,前年比,対数季節階差
200107,,98.9,-0.90180360721442,-0.905894468875181
200108,,99,-0.900900900900907,-0.904983551991793
200109,,99,-0.801603206412823,-0.804833318282837
200110,,98.9,-0.702811244979908,-0.705292596188598
200111,,98.8,-0.80321285140562,-0.806455983673041
200112,,98.7,-0.903614457831317,-0.907721815111654
200201,,98.2,-0.808080808080805,-0.811363477416966
200202,,98,-0.809716599190281,-0.813012608325018
200203,,98.2,-0.707785642062693,-0.71030232682463
200204,,98.3,-0.907258064516135,-0.911398713770632
200205,,98.4,-0.806451612903223,-0.809721023261936
200206,,98.3,-0.807265388496465,-0.810541418282145
200207,,98.1,-0.808897876643085,-0.812187205734918
200208,,98.1,-0.909090909090915,-0.913248356327259
200209,,98.1,-0.909090909090915,-0.913248356327259
200210,,98,-0.910010111223464,-0.914175995809451
200211,,98,-0.809716599190281,-0.813012608325018
200212,,98,-0.709219858156031,-0.711746776886399
200301,,97.4,-0.81466395112016,-0.818000471193081
200302,,97.3,-0.714285714285717,-0.716848947861252
200303,,97.6,-0.610997963340131,-0.61287219413735
200304,,97.9,-0.406917599186156,-0.407747761665604
200305,,98,-0.406504065040656,-0.40733253876359
200306,,97.9,-0.406917599186156,-0.407747761665604
200307,,97.9,-0.203873598369,-0.204081703485256
200308,,98,-0.1019367991845,-0.101988790074541
200309,,98,-0.1019367991845,-0.101988790074541
200310,,98.1,0.102040816326525,0.101988790074538
200311,,97.9,-0.102040816326525,-0.102092913410712
200312,,98,0,0
200401,,97.3,-0.102669404517463,-0.102722145653014
200402,,97.3,0,0
200403,,97.5,-0.102459016393437,-0.10251154152453
200404,,97.7,-0.204290091930544,-0.204499048772771
200405,,97.7,-0.306122448979589,-0.306591962183479
200406,,97.8,-0.102145045965279,-0.102197249569308
200407,,97.7,-0.204290091930544,-0.204499048772771
200408,,97.8,-0.204081632653064,-0.204290162980029
200409,,98,0,0
200410,,98,-0.1019367991845,-0.101988790074541
200411,,97.7,-0.204290091930544,-0.204499048772771
200412,,97.8,-0.204081632653064,-0.204290162980029
200501,,97.4,0.102774922918817,0.102722145653009
200502,,97.1,-0.205549845837619,-0.205761389468015
200503,,97.4,-0.102564102564097,-0.102616735531201
200504,,97.7,0,0
200505,,97.8,0.102354145342881,0.102301799203449
200506,,97.6,-0.204498977505115,-0.204708362172491
200507,,97.5,-0.204708290685776,-0.204918104493557
200508,,97.6,-0.204498977505115,-0.204708362172491
200509,,97.8,-0.204081632653064,-0.204290162980029
200510,,97.9,-0.102040816326525,-0.102092913410712
200511,,97.6,-0.102354145342895,-0.102406562969037
200512,,97.6,-0.204498977505115,-0.204708362172491
200601,,97.3,-0.102669404517463,-0.102722145653014
200602,,97.1,0,0
200603,,97.5,0.102669404517448,0.102616735531195
200604,,97.6,-0.102354145342895,-0.102406562969037
200605,,97.8,0,0
200606,,97.8,0.204918032786888,0.204708362172482
200607,,97.7,0.205128205128208,0.204918104493565
200608,,97.9,0.30737704918034,0.306905611741797
200609,,98,0.204498977505115,0.204290162980033
200610,,98,0.102145045965265,0.102092913410714
200611,,97.8,0.204918032786888,0.204708362172482
200612,,97.7,0.102459016393451,0.102406562969035
200701,,97.3,0,0
200702,,97,-0.102986611740468,-0.10303967938963
200703,,97.2,-0.307692307692305,-0.308166653740811
200704,,97.5,-0.102459016393437,-0.10251154152453
200705,,97.7,-0.10224948875255,-0.102301799203451
200706,,97.7,-0.10224948875255,-0.102301799203451
200707,,97.6,-0.102354145342895,-0.102406562969037
200708,,97.8,-0.102145045965279,-0.102197249569308
200709,,97.9,-0.102040816326525,-0.102092913410712
200710,,98.1,0.102040816326525,0.101988790074538
200711,,98.2,0.408997955010231,0.408163831964868
200712,,98.4,0.716479017400208,0.713924500947081
200801,,98.1,0.82219938335046,0.818837737935803
200802,,98,1.03092783505155,1.02565001671891
200803,,98.3,1.13168724279835,1.12533156867275
200804,,98.3,0.820512820512818,0.817164914931926
200805,,99.1,1.4329580348004,1.42278822872051
200806,,99.5,1.84237461617195,1.82560851158101
200807,,99.9,2.35655737704919,2.32921922354611
200808,,100.1,2.35173824130879,2.32451092804032
200809,,100.1,2.24719101123594,2.222313678471
200810,,99.9,1.83486238532111,1.81823190831905
200811,,99.1,0.916496945010175,0.912322597552197
200812,,98.6,0.203252032520314,0.203045755038192
200901,,98.1,0,0
200902,,98,0,0
200903,,98.2,-0.101729399796535,-0.10178117927006
200904,,98.2,-0.101729399796535,-0.10178117927006
200905,,98.1,-1.00908173562059,-1.01420747646249
200906,,97.9,-1.60804020100502,-1.62110946280824
200907,,97.7,-2.20220220220221,-2.22681266057708
200908,,97.7,-2.39760239760239,-2.42681272724378
200909,,97.8,-2.2977022977023,-2.32451092804033
200910,,97.7,-2.20220220220221,-2.22681266057708
200911,,97.5,-1.61453077699293,-1.62770633321407
200912,,97.4,-1.21703853955374,-1.22450509601002
201001,,97.1,-1.01936799184506,-1.02459912740382
201002,,97.1,-0.918367346938781,-0.92261033732928
201003,,97.3,-0.916496945010189,-0.920722616846092
201004,,97.1,-1.12016293279023,-1.12648400631411
201005,,97.1,-1.01936799184506,-1.02459912740382
201006,,97,-0.919305413687442,-0.923557103308195
201007,,96.6,-1.12589559877176,-1.13228178302649
201008,,96.6,-1.12589559877176,-1.13228178302649
201009,,96.6,-1.22699386503068,-1.23458358222994
201010,,96.9,-0.818833162743088,-0.822204015201653
201011,,96.7,-0.820512820512818,-0.823897554455285
201012,,96.6,-0.821355236139642,-0.824746943001723
201101,,96.3,-0.823892893923787,-0.827305649319929
201102,,96.3,-0.823892893923787,-0.827305649319929
201103,,96.6,-0.719424460431658,-0.722024797348713
201104,,96.9,-0.205973223480936,-0.206185640055858
201105,,97,-0.102986611740468,-0.10303967938963
201106,,96.7,-0.309278350515461,-0.309757604413417
201107,,96.7,0.103519668737069,0.103466124077646
201108,,96.8,0.207039337474123,0.206825306405906
201109,,96.8,0.207039337474123,0.206825306405906
201110,,96.7,-0.206398348813212,-0.206611643747189
201111,,96.5,-0.20682523267839,-0.20703941143084
201112,,96.5,-0.103519668737054,-0.103573287353198
201201,,96.2,-0.10384215991692,-0.103896113241903
201202,,96.4,0.103842159916935,0.103788281242024
201203,,96.8,0.207039337474123,0.206825306405906
201204,,97.1,0.206398348813198,0.206185640055856
201205,,96.9,-0.103092783505149,-0.103145960666227
201206,,96.5,-0.20682523267839,-0.20703941143084
201207,,96.4,-0.310237849017577,-0.310720084274872
201208,,96.5,-0.309917355371898,-0.310398593759111
201209,,96.7,-0.103305785123961,-0.103359182328266
201210,,96.7,0,0
201211,,96.4,-0.103626943005175,-0.103680672844025
201212,,96.3,-0.207253886010366,-0.207468954086036
201301,,96,-0.207900207900211,-0.208116620382462
201302,,96.1,-0.311203319502086,-0.311688564025322
201303,,96.4,-0.413223140495859,-0.414079266603128
201304,,96.7,-0.411946446961886,-0.41279728380305
201305,,96.9,0,0
201306,,96.9,0.414507772020731,0.413651055178028
201307,,97,0.622406639004143,0.620477688688287
201308,,97.3,0.829015544041448,0.825598084701908
201309,,97.4,0.723888314374357,0.721280818924078
201310,,97.6,0.930713547052732,0.926409095979817
201311,,97.5,1.14107883817427,1.13461763873015
201312,,97.5,1.24610591900312,1.23840591997216
201401,,97.2,1.25,1.24225199985571
201402,,97.3,1.24869927159209,1.24096732157127
201403,,97.7,1.34854771784232,1.33953574322371
201404,,99.8,3.20579110651499,3.15547808581697
201405,,100.1,3.30237358101134,3.24901674244542
201406,,100.1,3.30237358101134,3.24901674244542
201407,,100.3,3.4020618556701,3.34547164645069
201408,,100.3,3.08324768756423,3.03667057759304
201409,,100.3,2.97741273100615,2.93394843194004
201410,,100.4,2.86885245901641,2.82847138385821
201411,,100.1,2.66666666666666,2.63173083173734
201412,,100,2.56410256410256,2.53178079842898
201501,,99.5,2.36625514403292,2.33869326981537
201502,,99.4,2.15827338129497,2.13531244705691
201503,,99.8,2.14943705220061,2.12666242686812
201504,,100.2,0.400801603206419,0.400000533334614
201505,,100.3,0.199800199800203,0.199600864671488
201506,,100.2,0.0999000999001084,0.09985023295896
201507,,100.1,-0.199401794616154,-0.199600864671493
201508,,100.1,-0.199401794616154,-0.199600864671493
201509,,100.1,-0.199401794616154,-0.199600864671493
201510,,100.1,-0.298804780876505,-0.299252093645403
201511,,100.1,0,0
201512,,100,0,0
201601,,99.5,0,0
201602,,99.4,0,0
201603,,99.5,-0.300601202404807,-0.301053915287115
201604,,99.8,-0.399201596806393,-0.400000533334624
201605,,99.9,-0.398803589232295,-0.399600931338198
201606,,99.8,-0.399201596806393,-0.400000533334624
201607,,99.6,-0.4995004995005,-0.500752173062241
